protein,gene_id,human_orth_id,human_pident,human_evalue,human_score,dog_orth_id,dog_pident,dog_evalue,dog_score,pig_orth_id,pig_pident,pig_evalue,pig_score,ferret_orth_id,ferret_pident,ferret_evalue,ferret_score
XP_044925951.1,TBKBP1,ENSP00000354777,92.5,0.0,958,,,,,ENSSSCP00000018563,90.3,0.0,948,,,,
XP_044925952.1,TBKBP1,ENSP00000354777,92.4,0.0,956,,,,,ENSSSCP00000018563,90.1,0.0,946,,,,
XP_044925953.1,AATF,,,,,,,,,,,,,ENSMPUP00000014946,99.8,1.95e-295,815
XP_044925954.1,CLUH,,,,,ENSCAFP00000028505,97.3,0.0,2588,,,,,ENSMPUP00000012745,99.9,0.0,2659
XP_044925955.1,KIAA0586,,,,,,,,,,,,,ENSMPUP00000006102,99.9,0.0,2610
XP_044925956.1,TBX4,,,,,ENSCAFP00000026178,88.3,0.0,944,,,,,ENSMPUP00000015057,90.6,0.0,967
XP_044925957.1,RPA1,,,,,,,,,,,,,ENSMPUP00000013022,95.0,0.0,1150
XP_044925958.1,HEATR6,,,,,,,,,,,,,ENSMPUP00000014891,99.0,0.0,2241
XP_044925959.1,HEATR6,,,,,,,,,,,,,ENSMPUP00000014891,96.0,0.0,2153
XP_044925960.1,HEATR6,,,,,,,,,,,,,ENSMPUP00000014891,98.8,0.0,1918
XP_044925961.1,HEATR6,,,,,,,,,,,,,ENSMPUP00000014891,98.7,0.0,1751
XP_044925962.1,MYO1C,ENSP00000352834,96.7,0.0,2013,ENSCAFP00000028283,98.0,0.0,2031,,,,,,,,
XP_044925963.1,MYO1C,ENSP00000352834,96.7,0.0,1962,ENSCAFP00000028283,98.0,0.0,1981,ENSSSCP00000023920,97.0,0.0,1961,,,,
XP_044925964.1,MYO1C,ENSP00000352834,96.7,0.0,1944,ENSCAFP00000028283,98.0,0.0,1962,ENSSSCP00000023920,97.0,0.0,1942,,,,
XP_044925965.1,MYO1C,ENSP00000352834,96.7,0.0,1944,ENSCAFP00000028283,98.0,0.0,1962,ENSSSCP00000023920,97.0,0.0,1942,,,,
XP_044925966.1,MYO1C,ENSP00000352834,96.7,0.0,1944,ENSCAFP00000028283,98.0,0.0,1962,ENSSSCP00000023920,97.0,0.0,1942,,,,
XP_044925967.1,INPP5K,,,,,,,,,,,,,ENSMPUP00000013329,93.8,1.58e-315,860
XP_044925968.1,INPP5K,,,,,,,,,,,,,ENSMPUP00000013329,100,4.54e-307,838
XP_044925970.1,INPP5K,,,,,,,,,,,,,ENSMPUP00000013329,100,2.24e-272,748
XP_044925971.1,SUZ12,ENSP00000316578,99.0,0.0,1318,ENSCAFP00000027313,99.5,0.0,1309,ENSSSCP00000018799,98.8,0.0,1312,,,,
XP_044925972.1,SUZ12,ENSP00000316578,95.5,0.0,1262,ENSCAFP00000027313,96.1,0.0,1254,ENSSSCP00000018799,95.4,0.0,1257,,,,
XP_044925973.1,SMARCE1,ENSP00000323967,95.9,3.33e-227,634,,,,,,,,,ENSMPUP00000014551,99.5,2.33e-234,652
XP_044925975.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,83.7,0.0,2329
XP_044925976.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,83.6,0.0,2323
XP_044925977.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,83.2,0.0,2298
XP_044925978.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,82.4,0.0,2271
XP_044925979.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,85.0,0.0,2341
XP_044925980.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,81.6,0.0,2237
XP_044925981.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,81.5,0.0,2236
XP_044925982.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,81.1,0.0,2215
XP_044925983.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,83.0,0.0,2200
XP_044925984.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,82.9,0.0,2186
XP_044925985.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,82.9,0.0,2186
XP_044925986.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,82.9,0.0,2186
XP_044925987.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,81.4,0.0,1930
XP_044925988.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,95.4,0.0,2408
XP_044925989.1,LOC123389156,,,,,,,,,,,,,ENSMPUP00000012973,99.2,5.03e-168,474
XP_044925991.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,92.5,0.0,2311
XP_044925992.1,SRCIN1,,,,,,,,,,,,,ENSMPUP00000015031,91.1,0.0,2180
XP_044925993.1,DAAM1,ENSP00000378557,98.2,0.0,1853,ENSCAFP00000022852,96.8,0.0,1837,,,,,ENSMPUP00000006151,99.1,0.0,1857
XP_044925994.1,SNX11,,,,,,,,,,,,,ENSMPUP00000015193,89.3,3.54e-169,474
XP_044925995.1,SNX11,,,,,,,,,,,,,ENSMPUP00000015193,89.3,3.54e-169,474
XP_044925996.1,SNX11,,,,,,,,,,,,,ENSMPUP00000015193,89.3,3.54e-169,474
XP_044925997.1,DAAM1,ENSP00000378557,98.2,0.0,1853,ENSCAFP00000022852,96.8,0.0,1837,,,,,ENSMPUP00000006151,99.1,0.0,1857
XP_044925998.1,MMD,ENSP00000262065,99.4,1.13e-129,371,ENSCAFP00000038931,99.4,1.13e-129,371,,,,,ENSMPUP00000015288,99.4,1.13e-129,371
XP_044926001.1,B4GALNT2,,,,,,,,,,,,,ENSMPUP00000015263,98.4,0.0,982
XP_044926002.1,ORMDL3,ENSP00000377724,98.7,4.52e-106,306,ENSCAFP00000039760,100,2.24e-106,306,ENSSSCP00000018540,100,2.24e-106,306,ENSMPUP00000014855,100,2.24e-106,306
XP_044926003.1,CACNA1G,ENSP00000352011,92.4,0.0,4080,ENSCAFP00000025229,95.0,0.0,4193,,,,,,,,
XP_044926004.1,CACNA1G,ENSP00000352011,92.5,0.0,4086,ENSCAFP00000025229,94.9,0.0,4185,,,,,,,,
XP_044926005.1,CACNA1G,ENSP00000352011,92.0,0.0,4044,ENSCAFP00000025229,94.5,0.0,4157,,,,,,,,
XP_044926006.1,CACNA1G,ENSP00000352011,91.8,0.0,4080,ENSCAFP00000025229,94.2,0.0,4177,,,,,,,,
XP_044926007.1,CACNA1G,ENSP00000352011,91.7,0.0,4042,ENSCAFP00000025229,94.2,0.0,4155,,,,,,,,
XP_044926008.1,CACNA1G,ENSP00000352011,91.7,0.0,4070,ENSCAFP00000025229,94.2,0.0,4182,,,,,,,,
XP_044926009.1,CACNA1G,ENSP00000352011,91.8,0.0,4076,ENSCAFP00000025229,94.2,0.0,4175,,,,,,,,
XP_044926010.1,CACNA1G,ENSP00000352011,91.5,0.0,4024,ENSCAFP00000025229,94.0,0.0,4137,,,,,ENSMPUP00000015390,97.8,0.0,4031
XP_044926011.1,CACNA1G,ENSP00000352011,91.6,0.0,4030,ENSCAFP00000025229,93.9,0.0,4130,,,,,ENSMPUP00000015390,97.8,0.0,4037
XP_044926012.1,CACNA1G,ENSP00000352011,90.8,0.0,4024,ENSCAFP00000025229,93.2,0.0,4122,,,,,ENSMPUP00000015390,96.9,0.0,4024
XP_044926013.1,CACNA1G,ENSP00000352011,90.8,0.0,3993,ENSCAFP00000025229,93.0,0.0,4083,,,,,ENSMPUP00000015390,99.0,0.0,4044
XP_044926014.1,CACNA1G,ENSP00000352011,90.0,0.0,3987,ENSCAFP00000025229,92.3,0.0,4075,,,,,ENSMPUP00000015390,98.0,0.0,4031
XP_044926015.1,ANTXR2,,,,,ENSCAFP00000013031,91.5,2.64e-281,777,,,,,,,,
XP_044926016.1,CACNA1G,ENSP00000352011,90.0,0.0,3983,ENSCAFP00000025229,92.3,0.0,4072,,,,,ENSMPUP00000015390,98.0,0.0,4028
XP_044926017.1,CACNA1G,,,,,ENSCAFP00000025229,92.0,0.0,4027,,,,,ENSMPUP00000015390,100,0.0,4059
XP_044926018.1,CACNA1G,ENSP00000352011,89.1,0.0,3931,ENSCAFP00000025229,91.3,0.0,4019,,,,,ENSMPUP00000015390,99.1,0.0,4046
XP_044926019.1,CACNA1G,,,,,ENSCAFP00000025229,91.3,0.0,3989,,,,,ENSMPUP00000015390,99.2,0.0,4021
XP_044926020.1,CACNA1G,ENSP00000352011,89.1,0.0,3927,ENSCAFP00000025229,91.3,0.0,4016,,,,,ENSMPUP00000015390,99.1,0.0,4043
XP_044926021.1,CCDC175,,,,,,,,,,,,,ENSMPUP00000006186,100,0.0,1192
XP_044926022.1,CACNA1G,ENSP00000352011,96.2,0.0,3117,ENSCAFP00000025229,97.9,0.0,3172,,,,,,,,
XP_044926023.1,CACNA1G,ENSP00000352011,96.3,0.0,3122,ENSCAFP00000025229,97.8,0.0,3165,,,,,,,,
XP_044926024.1,CACNA1G,ENSP00000352011,95.4,0.0,3116,ENSCAFP00000025229,96.8,0.0,3157,,,,,,,,
XP_044926025.1,CACNA1G,ENSP00000352011,95.4,0.0,3113,ENSCAFP00000025229,96.8,0.0,3154,,,,,,,,
XP_044926026.1,CACNA1G,ENSP00000352011,95.0,0.0,3066,ENSCAFP00000025229,96.5,0.0,3109,,,,,ENSMPUP00000015390,99.9,0.0,3020
XP_044926027.1,CACNA1G,ENSP00000352011,94.0,0.0,3057,ENSCAFP00000025229,95.5,0.0,3098,,,,,,,,
XP_044926028.1,CACNA1G,ENSP00000352011,94.3,0.0,4186,ENSCAFP00000025229,96.6,0.0,4279,,,,,,,,
XP_044926029.1,CACNA1G,ENSP00000352011,93.6,0.0,4180,ENSCAFP00000025229,95.9,0.0,4271,,,,,,,,
XP_044926030.1,CACNA1G,ENSP00000352011,92.6,0.0,4124,ENSCAFP00000025229,94.9,0.0,4215,,,,,,,,
XP_044926031.1,CACNA1G,ENSP00000352011,91.6,0.0,4031,ENSCAFP00000025229,93.7,0.0,4115,,,,,ENSMPUP00000015390,98.0,0.0,4038
XP_044926032.1,TOP2A,,,,,ENSCAFP00000023713,95.0,0.0,2823,,,,,ENSMPUP00000014571,96.5,0.0,2807
XP_044926033.1,TLCD3A,,,,,ENSCAFP00000028226,94.2,3.26e-178,497,,,,,,,,
XP_044926034.1,TLCD3A,,,,,ENSCAFP00000028226,83.3,1.21e-152,431,,,,,,,,
XP_044926035.1,TLCD3A,,,,,ENSCAFP00000028226,98.6,4.90e-38,135,,,,,,,,
XP_044926036.1,TLCD3A,,,,,ENSCAFP00000028226,98.6,3.49e-38,134,,,,,,,,
XP_044926038.1,TOB1,ENSP00000427695,98.3,8.40e-220,609,ENSCAFP00000025245,98.6,4.39e-218,611,ENSSSCP00000018607,96.5,9.71e-217,602,ENSMPUP00000019956,100,2.06e-220,611
XP_044926039.1,SLC35B1,ENSP00000240333,95.0,3.60e-244,672,ENSCAFP00000024921,98.9,1.93e-246,678,,,,,,,,
XP_044926040.1,SLC35B1,ENSP00000240333,96.9,1.08e-173,489,ENSCAFP00000024921,98.8,5.81e-176,495,ENSSSCP00000020504,97.3,1.36e-174,492,ENSMPUP00000015282,99.6,5.05e-178,498
XP_044926041.1,EPN3,,,,,,,,,,,,,ENSMPUP00000015371,99.5,0.0,1043
XP_044926042.1,CCR7,,,,,,,,,,,,,ENSMPUP00000014564,100,2.30e-260,714
XP_044926043.1,CCR7,,,,,,,,,,,,,ENSMPUP00000014564,100,2.30e-260,714
XP_044926044.1,CCR7,,,,,,,,,,,,,ENSMPUP00000014564,100,2.30e-260,714
XP_044926045.1,CCR7,,,,,,,,,,,,,ENSMPUP00000014564,100,2.93e-216,600
XP_044926046.1,CCR7,,,,,,,,,,,,,ENSMPUP00000014564,100,2.93e-216,600
XP_044926047.1,ANKRD13B,ENSP00000378328,97.0,0.0,1091,ENSCAFP00000027973,98.2,0.0,1066,,,,,,,,
XP_044926048.1,ANKRD13B,ENSP00000378328,92.9,0.0,1154,,,,,,,,,,,,
XP_044926049.1,PCNX4,,,,,,,,,,,,,ENSMPUP00000006236,99.7,0.0,1878
XP_044926050.1,ANKRD13B,ENSP00000378328,97.8,0.0,1170,,,,,,,,,,,,
XP_044926051.1,CORO6,,,,,,,,,,,,,ENSMPUP00000013789,96.6,4.81e-310,848
XP_044926052.1,CORO6,,,,,,,,,ENSSSCP00000018850,95.4,1.44e-165,463,,,,
XP_044926053.1,UTP6,,,,,ENSCAFP00000027330,94.8,0.0,1118,,,,,ENSMPUP00000014470,96.8,0.0,1126
XP_044926054.1,UTP6,,,,,ENSCAFP00000027330,95.0,0.0,977,,,,,ENSMPUP00000014470,96.4,0.0,975
XP_044926055.1,PCNX4,,,,,,,,,,,,,ENSMPUP00000006236,99.9,0.0,1433
XP_044926056.1,KIAA0100,,,,,ENSCAFP00000027654,97.5,0.0,4217,ENSSSCP00000018823,96.2,0.0,4166,ENSMPUP00000014095,100,0.0,4284
XP_044926057.1,KIAA0100,,,,,ENSCAFP00000027654,97.5,0.0,4217,ENSSSCP00000018823,96.2,0.0,4166,ENSMPUP00000014095,100,0.0,4284
XP_044926058.1,KIAA0100,,,,,ENSCAFP00000027654,97.5,0.0,4217,ENSSSCP00000018823,96.2,0.0,4166,ENSMPUP00000014095,100,0.0,4284
XP_044926059.1,KIAA0100,,,,,ENSCAFP00000027654,97.5,0.0,4217,ENSSSCP00000018823,96.2,0.0,4166,ENSMPUP00000014095,100,0.0,4284
XP_044926060.1,KIAA0100,,,,,ENSCAFP00000027654,97.5,0.0,4217,ENSSSCP00000018823,96.2,0.0,4166,ENSMPUP00000014095,100,0.0,4284
XP_044926061.1,KIAA0100,,,,,ENSCAFP00000027654,97.5,0.0,4217,ENSSSCP00000018823,96.2,0.0,4166,ENSMPUP00000014095,100,0.0,4284
XP_044926062.1,RTN1,,,,,,,,,,,,,ENSMPUP00000006199,100,0.0,1308
XP_044926063.1,KIAA0100,,,,,ENSCAFP00000027654,97.6,0.0,3961,,,,,ENSMPUP00000014095,100,0.0,4047
XP_044926067.1,SUPT6H,ENSP00000319104,99.7,0.0,3188,ENSCAFP00000027693,99.9,0.0,3195,ENSSSCP00000018832,99.7,0.0,3185,ENSMPUP00000014086,100,0.0,3199
XP_044926068.1,SUPT6H,ENSP00000319104,96.9,0.0,3066,ENSCAFP00000027693,97.2,0.0,3073,ENSSSCP00000018832,96.9,0.0,3063,ENSMPUP00000014086,97.3,0.0,3077
XP_044926069.1,BRIP1,,,,,,,,,,,,,ENSMPUP00000015060,99.9,0.0,2379
XP_044926070.1,DHRS7,,,,,,,,,,,,,ENSMPUP00000006245,96.2,5.68e-232,640
XP_044926071.1,CCT6B,,,,,,,,,,,,,ENSMPUP00000014745,100,0.0,1070
XP_044926072.1,CCT6B,,,,,,,,,,,,,ENSMPUP00000014745,94.5,0.0,1011
XP_044926073.1,CCT6B,,,,,,,,,,,,,ENSMPUP00000014745,93.5,0.0,978
XP_044926074.1,CCT6B,,,,,,,,,,,,,ENSMPUP00000014745,92.0,0.0,965
XP_044926075.1,CCT6B,,,,,,,,,,,,,ENSMPUP00000014745,89.8,0.0,941
XP_044926076.1,CCT6B,,,,,,,,,,,,,ENSMPUP00000014745,87.6,0.0,881
XP_044926077.1,CCT6B,,,,,,,,,,,,,ENSMPUP00000014745,83.2,1.24e-308,848
XP_044926078.1,COPZ2,ENSP00000480707,94.3,6.57e-136,386,,,,,,,,,,,,
XP_044926079.1,LOC101691357,,,,,,,,,,,,,ENSMPUP00000015369,99.9,0.0,1453
XP_044926080.1,MED13,ENSP00000380888,96.1,0.0,4096,,,,,,,,,,,,
XP_044926081.1,MED13,ENSP00000380888,96.0,0.0,3726,,,,,,,,,,,,
XP_044926082.1,MED13,ENSP00000380888,96.0,0.0,3726,,,,,,,,,,,,
XP_044926083.1,INTS2,ENSP00000414237,97.8,0.0,2269,,,,,ENSSSCP00000018727,98.2,0.0,2279,,,,
XP_044926084.1,PPM1A,ENSP00000327255,99.5,2.90e-284,778,ENSCAFP00000022940,100,1.23e-285,782,ENSSSCP00000005464,100,7.83e-287,782,ENSMPUP00000006257,100,1.23e-285,782
XP_044926085.1,ERAL1,,,,,,,,,,,,,ENSMPUP00000014039,99.3,1.24e-284,783
XP_044926086.1,PPM1A,ENSP00000327255,99.5,2.90e-284,778,ENSCAFP00000022940,100,1.23e-285,782,ENSSSCP00000005464,100,7.83e-287,782,ENSMPUP00000006257,100,1.23e-285,782
XP_044926087.1,RPL19,ENSP00000225430,100,8.03e-121,347,ENSCAFP00000024264,100,1.24e-119,343,ENSSSCP00000018556,100,3.27e-120,345,,,,
XP_044926088.1,KRT10,,,,,,,,,,,,,ENSMPUP00000014527,99.8,1.89e-219,625
XP_044926089.1,KRT10,,,,,,,,,,,,,ENSMPUP00000014527,99.6,3.43e-217,619
XP_044926090.1,KRT10,,,,,,,,,,,,,ENSMPUP00000014527,99.8,4.35e-220,625
XP_044926091.1,CUNH14orf39,,,,,,,,,,,,,ENSMPUP00000006274,93.7,0.0,991
XP_044926092.1,VEZF1,,,,,ENSCAFP00000041955,98.3,1.93e-262,732,,,,,,,,
XP_044926093.1,VEZF1,,,,,,,,,ENSSSCP00000023901,98.1,1.20e-240,676,ENSMPUP00000015260,98.6,4.37e-240,675
XP_044926094.1,VEZF1,,,,,ENSCAFP00000041955,98.2,1.05e-252,707,,,,,,,,
XP_044926095.1,CUNH14orf39,,,,,,,,,,,,,ENSMPUP00000006274,93.7,0.0,991
XP_044926096.1,MKS1,,,,,,,,,,,,,ENSMPUP00000015236,98.9,0.0,942
XP_044926097.1,CUNH14orf39,,,,,,,,,,,,,ENSMPUP00000006274,93.5,0.0,985
XP_044926098.1,CA4,,,,,,,,,,,,,ENSMPUP00000014985,99.7,1.73e-216,598
XP_044926099.1,TBX21,,,,,ENSCAFP00000024565,91.5,2.78e-266,739,,,,,ENSMPUP00000015162,93.5,1.31e-271,752
XP_044926100.1,IGF2BP1,ENSP00000290341,99.7,0.0,1095,ENSCAFP00000024866,99.8,0.0,1098,ENSSSCP00000020836,99.7,0.0,1095,,,,
XP_044926101.1,IGF2BP1,ENSP00000290341,99.5,0.0,1088,ENSCAFP00000024866,99.7,0.0,1091,ENSSSCP00000020836,99.5,0.0,1088,,,,
XP_044926102.1,MRM3,,,,,ENSCAFP00000028210,91.7,1.33e-278,764,,,,,,,,
XP_044926103.1,MRM3,,,,,ENSCAFP00000028210,92.9,2.35e-148,426,,,,,,,,
XP_044926105.1,CDK5R1,ENSP00000318486,97.4,6.47e-214,591,ENSCAFP00000027143,98.4,1.36e-215,595,ENSSSCP00000018785,97.1,1.86e-213,590,ENSMPUP00000019386,100,2.99e-219,605
XP_044926106.1,RARA,ENSP00000254066,99.7,1.73e-242,671,ENSCAFP00000030948,100,1.02e-242,673,ENSSSCP00000018521,99.7,7.04e-242,670,ENSMPUP00000014752,100,4.26e-243,673
XP_044926107.1,RARA,ENSP00000254066,99.7,1.73e-242,671,ENSCAFP00000030948,100,1.02e-242,673,ENSSSCP00000018521,99.7,7.04e-242,670,ENSMPUP00000014752,100,4.26e-243,673
XP_044926108.1,WIPF2,,,,,ENSCAFP00000023769,98.3,8.22e-214,602,,,,,ENSMPUP00000014787,100,8.47e-219,615
XP_044926109.1,WIPF2,,,,,ENSCAFP00000023769,98.3,8.22e-214,602,,,,,ENSMPUP00000014787,100,8.47e-219,615
XP_044926110.1,WIPF2,,,,,ENSCAFP00000023769,79.2,1.40e-184,525,,,,,ENSMPUP00000014787,81.4,1.45e-189,538
XP_044926111.1,LOC101672959,,,,,ENSCAFP00000040538,89.0,1.52e-231,649,ENSSSCP00000018485,87.9,3.95e-224,630,,,,
XP_044926112.1,TUBD1,,,,,ENSCAFP00000033984,94.3,0.0,875,,,,,,,,
XP_044926113.1,TUBD1,,,,,ENSCAFP00000033984,94.3,0.0,875,,,,,,,,
XP_044926114.1,TUBD1,,,,,ENSCAFP00000033984,95.3,5.80e-189,533,,,,,ENSMPUP00000015077,98.9,3.09e-193,545
XP_044926115.1,TUBD1,,,,,ENSCAFP00000033984,87.1,5.37e-244,677,,,,,ENSMPUP00000015077,98.9,3.51e-249,690
XP_044926116.1,USP32,,,,,ENSCAFP00000026247,97.4,0.0,3130,,,,,ENSMPUP00000014986,99.1,0.0,3184
XP_044926117.1,USP32,,,,,ENSCAFP00000026247,98.3,0.0,3140,,,,,ENSMPUP00000014986,100,0.0,3193
XP_044926119.1,SYNRG,,,,,,,,,,,,,ENSMPUP00000014922,99.1,0.0,2511
XP_044926120.1,SYNRG,,,,,,,,,,,,,ENSMPUP00000014922,96.8,0.0,2379
XP_044926121.1,SYNRG,,,,,,,,,,,,,ENSMPUP00000014922,93.5,0.0,2338
XP_044926123.1,TADA2A,ENSP00000481091,99.3,0.0,892,ENSCAFP00000026800,99.3,0.0,890,,,,,ENSMPUP00000014929,100,0.0,896
XP_044926124.1,TADA2A,ENSP00000481091,91.0,2.87e-292,799,ENSCAFP00000026800,91.0,1.66e-291,797,,,,,ENSMPUP00000014929,91.6,8.60e-294,803
XP_044926125.1,DUSP14,ENSP00000477653,98.0,1.04e-142,402,ENSCAFP00000026801,99.5,3.76e-145,408,,,,,ENSMPUP00000019498,100,2.65e-145,409
XP_044926127.1,SLC38A6,,,,,,,,,,,,,ENSMPUP00000006387,100,1.87e-301,826
XP_044926129.1,COPRS,,,,,,,,,,,,,ENSMPUP00000014468,100,1.66e-93,276
XP_044926130.1,BCAS3,ENSP00000375067,97.1,0.0,1712,,,,,,,,,,,,
XP_044926131.1,BCAS3,ENSP00000375067,93.5,0.0,1723,ENSCAFP00000026184,92.3,0.0,1721,,,,,,,,
XP_044926132.1,TBX2,,,,,,,,,ENSSSCP00000021191,94.5,0.0,1213,,,,
XP_044926133.1,RAP1GAP2,,,,,,,,,,,,,ENSMPUP00000012734,93.4,0.0,1271
XP_044926134.1,RAP1GAP2,,,,,,,,,,,,,ENSMPUP00000012734,89.8,0.0,1200
XP_044926135.1,RAP1GAP2,,,,,,,,,,,,,ENSMPUP00000012734,100,0.0,1390
XP_044926137.1,LOC101674551,,,,,,,,,,,,,ENSMPUP00000015247,99.3,7.36e-94,274
XP_044926138.1,SLC38A6,,,,,,,,,,,,,ENSMPUP00000006387,100,1.55e-273,754
XP_044926139.1,LOC123389175,,,,,,,,,,,,,ENSMPUP00000018729,86.3,7.17e-44,151
XP_044926140.1,SMG8,ENSP00000438748,97.1,0.0,1875,ENSCAFP00000025931,99.2,0.0,1910,ENSSSCP00000024888,97.0,0.0,1873,,,,
XP_044926141.1,TRIM37,,,,,,,,,,,,,ENSMPUP00000015135,99.9,0.0,1342
XP_044926142.1,TRIM37,,,,,,,,,,,,,ENSMPUP00000015135,97.1,0.0,1780
XP_044926143.1,PRR11,,,,,,,,,,,,,ENSMPUP00000015131,99.1,1.49e-227,630
XP_044926144.1,SKA2,,,,,,,,,,,,,ENSMPUP00000015132,77.6,1.08e-58,184
XP_044926147.1,MPO,,,,,,,,,,,,,ENSMPUP00000015230,90.4,0.0,1287
XP_044926149.1,NFE2L1,,,,,ENSCAFP00000030651,97.5,0.0,999,,,,,ENSMPUP00000015191,100,0.0,1022
XP_044926150.1,MNAT1,ENSP00000261245,97.5,3.96e-184,515,ENSCAFP00000022988,98.9,1.76e-187,523,,,,,ENSMPUP00000006372,100,9.12e-190,529
XP_044926151.1,CBX1,ENSP00000377060,100,3.16e-108,314,ENSCAFP00000024749,100,3.16e-108,314,ENSSSCP00000018577,100,3.16e-108,314,ENSMPUP00000015192,100,3.16e-108,314
XP_044926152.1,STAC2,,,,,,,,,,,,,ENSMPUP00000014927,98.7,2.50e-261,717
XP_044926154.1,LOC101692021,,,,,,,,,,,,,ENSMPUP00000019372,100,2.45e-226,624
XP_044926157.1,NEK8,,,,,,,,,,,,,ENSMPUP00000014050,100,0.0,1261
XP_044926158.1,NEK8,,,,,,,,,,,,,ENSMPUP00000014050,100,0.0,1175
XP_044926159.1,FAM222B,,,,,ENSCAFP00000035938,98.3,0.0,922,,,,,ENSMPUP00000014044,100,0.0,941
XP_044926160.1,FAM222B,,,,,ENSCAFP00000035938,96.6,1.43e-264,735,,,,,ENSMPUP00000014044,98.6,7.36e-272,754
XP_044926161.1,FBXO47,,,,,,,,,,,,,ENSMPUP00000014947,89.2,6.32e-286,783
XP_044926162.1,KAT7,ENSP00000259021,99.6,0.0,917,ENSCAFP00000024952,99.1,0.0,912,ENSSSCP00000018601,99.6,0.0,917,,,,
XP_044926163.1,FAM117A,,,,,ENSCAFP00000024924,94.5,2.65e-305,835,,,,,,,,
XP_044926164.1,FAM117A,,,,,,,,,,,,,ENSMPUP00000015296,100,6.02e-120,353
XP_044926165.1,SEZ6,,,,,ENSCAFP00000027819,95.3,0.0,1916,,,,,,,,
XP_044926166.1,SEZ6,,,,,ENSCAFP00000027819,95.3,0.0,1895,,,,,,,,
XP_044926167.1,SEZ6,,,,,ENSCAFP00000027819,94.0,0.0,1880,,,,,,,,
XP_044926168.1,SEZ6,,,,,ENSCAFP00000027819,94.0,0.0,1859,,,,,,,,
XP_044926169.1,FLOT2,ENSP00000378368,96.3,2.14e-257,711,,,,,,,,,ENSMPUP00000014029,97.7,1.66e-261,722
XP_044926170.1,FLOT2,ENSP00000378368,98.4,8.77e-221,617,ENSCAFP00000027777,98.7,7.54e-222,619,ENSSSCP00000022920,97.6,5.74e-219,612,ENSMPUP00000014029,100,6.81e-225,627
XP_044926171.1,FLOT2,ENSP00000378368,98.4,8.77e-221,617,ENSCAFP00000027777,98.7,7.54e-222,619,ENSSSCP00000022920,97.6,5.74e-219,612,ENSMPUP00000014029,100,6.81e-225,627
XP_044926172.1,FLOT2,ENSP00000378368,98.4,8.77e-221,617,ENSCAFP00000027777,98.7,7.54e-222,619,ENSSSCP00000022920,97.6,5.74e-219,612,ENSMPUP00000014029,100,6.81e-225,627
XP_044926173.1,FLOT2,,,,,,,,,,,,,ENSMPUP00000014029,97.9,1.02e-219,614
XP_044926174.1,FLOT2,ENSP00000378368,98.3,3.55e-201,566,ENSCAFP00000027777,98.6,3.05e-202,568,ENSSSCP00000022920,97.4,2.31e-199,561,ENSMPUP00000014029,100,2.76e-205,576
XP_044926175.1,FLOT2,ENSP00000378368,98.3,3.55e-201,566,ENSCAFP00000027777,98.6,3.05e-202,568,ENSSSCP00000022920,97.4,2.31e-199,561,ENSMPUP00000014029,100,2.76e-205,576
XP_044926176.1,TMIGD1,,,,,,,,,,,,,ENSMPUP00000013742,100,7.08e-183,510
XP_044926177.1,NEUROD2,ENSP00000306754,96.6,6.35e-231,640,ENSCAFP00000024143,99.7,2.09e-236,654,,,,,ENSMPUP00000019952,100,2.99e-238,659
XP_044926178.1,LOC101687304,,,,,,,,,,,,,ENSMPUP00000014735,100,4.42e-38,131
XP_044926179.1,GPR179,,,,,,,,,,,,,ENSMPUP00000015102,98.6,0.0,4434
XP_044926180.1,KRT222,,,,,ENSCAFP00000036034,98.1,3.12e-146,417,,,,,ENSMPUP00000014545,100,4.88e-150,427
XP_044926181.1,KRT222,,,,,ENSCAFP00000036034,98.1,3.12e-146,417,,,,,ENSMPUP00000014545,100,4.88e-150,427
XP_044926183.1,SPAG9,,,,,,,,,,,,,ENSMPUP00000015444,99.7,0.0,2140
XP_044926184.1,MED24,,,,,ENSCAFP00000023939,97.9,0.0,1931,,,,,,,,
XP_044926185.1,MED24,,,,,ENSCAFP00000023939,97.9,0.0,1931,,,,,,,,
XP_044926186.1,MED24,,,,,ENSCAFP00000023939,97.9,0.0,1931,,,,,,,,
XP_044926187.1,MED24,,,,,ENSCAFP00000023939,97.2,0.0,1538,,,,,,,,
