protein,gene_id,orth_id,pident,evalue,score
XP_044923958.1,ZNF275,ENSMPUP00000019427,100,1.06e-100,310
XP_044923959.1,ZNF275,ENSMPUP00000019427,100,1.06e-100,310
XP_044923960.1,SLC9A6,ENSMPUP00000001963,94.6,0.0,1203
XP_044923961.1,SLC9A6,ENSMPUP00000001963,98.9,0.0,1218
XP_044923962.1,SLC9A6,ENSMPUP00000001963,94.8,0.0,1264
XP_044923963.1,SLC9A6,ENSMPUP00000001963,94.6,0.0,1203
XP_044923965.1,NSDHL,ENSMPUP00000011772,95.6,1.84e-252,692
XP_044923966.1,NSDHL,ENSMPUP00000011772,85.3,1.09e-216,600
XP_044923967.1,CETN2,ENSMPUP00000011765,98.9,5.24e-78,237
XP_044923970.1,LOC123388451,ENSMPUP00000011759,77.6,3.11e-121,354
XP_044923972.1,LOC101689634,ENSMPUP00000018881,100,1.87e-216,598
XP_044923973.1,RAP2C,ENSMPUP00000002154,100,7.99e-126,358
XP_044923974.1,RAP2C,ENSMPUP00000002154,100,7.99e-126,358
XP_044923975.1,RAP2C,ENSMPUP00000002154,100,1.30e-77,233
XP_044923977.1,GAB3,ENSMPUP00000016038,99.8,0.0,1090
XP_044923978.1,GAB3,ENSMPUP00000016038,99.8,0.0,1090
XP_044923979.1,GAB3,ENSMPUP00000016038,99.8,0.0,1090
XP_044923980.1,GAB3,ENSMPUP00000016038,92.9,0.0,996
XP_044923981.1,GAB3,ENSMPUP00000016038,94.8,2.32e-300,827
XP_044923982.1,F8,ENSMPUP00000016034,100.0,0.0,4643
XP_044923983.1,F8,ENSMPUP00000016034,93.8,1.19e-135,428
XP_044923984.1,LOC101671531,ENSMPUP00000019413,100,2.70e-67,204
XP_044923985.1,OCRL,ENSMPUP00000017314,100,0.0,1812
XP_044923986.1,OCRL,ENSMPUP00000017314,99.7,0.0,1801
XP_044923987.1,OCRL,ENSMPUP00000017314,99.1,0.0,1791
XP_044923988.1,OCRL,ENSMPUP00000017314,97.2,0.0,1748
XP_044923989.1,PABIR2,ENSMPUP00000012596,100,1.78e-153,433
XP_044923990.1,ARHGAP4,ENSMPUP00000008896,95.6,0.0,1759
XP_044923991.1,ARHGAP4,ENSMPUP00000008896,100,0.0,1780
XP_044923992.1,ARHGAP4,ENSMPUP00000008896,94.9,0.0,1534
XP_044923993.1,ARHGAP4,ENSMPUP00000008896,94.8,0.0,1469
XP_044924002.1,UTP14A,ENSMPUP00000017326,99.8,0.0,1053
XP_044924005.1,LOC123388458,ENSMPUP00000015184,100,2.63e-152,432
XP_044924006.1,EOLA2,ENSMPUP00000011372,100,1.33e-114,328
XP_044924007.1,EOLA2,ENSMPUP00000011372,100,1.33e-114,328
XP_044924008.1,LOC101673941,ENSMPUP00000008899,79.7,9.79e-26,99.4
XP_044924010.1,LOC123386970,ENSMPUP00000016041,99.0,9.78e-313,858
XP_044924012.1,LOC123388462,ENSMPUP00000019142,100,2.18e-227,641
XP_044924013.1,LOC101673017,ENSMPUP00000019142,99.7,3.72e-228,637
XP_044924014.1,PASD1,ENSMPUP00000011569,96.7,0.0,1316
XP_044924018.1,LOC123388465,ENSMPUP00000018876,92.8,9.60e-199,553
XP_044924021.1,LOC101671863,ENSMPUP00000015184,85.5,7.60e-172,486
XP_044924022.1,EOLA1,ENSMPUP00000011372,100,1.33e-114,328
XP_044924023.1,EOLA1,ENSMPUP00000011372,100,1.33e-114,328
XP_044924024.1,EOLA1,ENSMPUP00000011372,100,1.33e-114,328
XP_044924025.1,EOLA1,ENSMPUP00000011372,100,1.33e-114,328
XP_044924026.1,EOLA1,ENSMPUP00000011372,100,1.33e-114,328
XP_044924027.1,EOLA1,ENSMPUP00000011372,100,1.33e-114,328
XP_044924029.1,CLIC2,ENSMPUP00000016021,99.6,7.32e-168,470
XP_044924030.1,HPRT1,ENSMPUP00000012605,97.7,7.44e-153,429
XP_044924031.1,LOC101678057,ENSMPUP00000011759,89.8,2.19e-199,556
XP_044924032.1,MBNL3,ENSMPUP00000002156,100,1.22e-272,745
XP_044924033.1,MBNL3,ENSMPUP00000002156,100,1.22e-272,745
XP_044924034.1,MBNL3,ENSMPUP00000002156,96.7,1.67e-260,714
XP_044924035.1,MBNL3,ENSMPUP00000002156,99.7,6.03e-260,712
XP_044924036.1,MBNL3,ENSMPUP00000002156,99.4,4.61e-229,634
XP_044924037.1,MBNL3,ENSMPUP00000002156,100,9.56e-191,533
XP_044924038.1,MBNL3,ENSMPUP00000002156,100,7.23e-194,541
XP_044924039.1,ZNF75D,ENSMPUP00000012563,100,2.04e-284,788
XP_044924040.1,ZNF75D,ENSMPUP00000012563,95.2,5.84e-265,738
XP_044924041.1,ZNF75D,ENSMPUP00000012563,76.1,1.28e-191,548
XP_044924042.1,ZNF75D,ENSMPUP00000012563,100,1.00e-103,319
XP_044924047.1,IRAK1,ENSMPUP00000008986,98.6,0.0,1324
XP_044924048.1,IRAK1,ENSMPUP00000008986,87.3,0.0,1131
XP_044924049.1,LOC123388473,ENSMPUP00000018836,91.3,6.10e-205,569
XP_044924050.1,MECP2,ENSMPUP00000008999,99.8,1.70e-248,694
XP_044924051.1,MECP2,ENSMPUP00000008999,100,5.78e-131,386
XP_044924059.1,ZNF449,ENSMPUP00000012560,100,2.97e-237,668
XP_044924062.1,AFF2,ENSMPUP00000011383,100,0.0,2104
XP_044924063.1,AFF2,ENSMPUP00000011383,100,0.0,2104
XP_044924064.1,LOC123386886,ENSMPUP00000018864,100,0.0,1316
XP_044924065.1,TEX28,ENSMPUP00000009125,100,1.58e-282,774
XP_044924066.1,TEX28,ENSMPUP00000009125,100,1.58e-282,774
XP_044924067.1,L1CAM,ENSMPUP00000008873,100,0.0,2569
XP_044924068.1,L1CAM,ENSMPUP00000008873,99.7,0.0,2556
XP_044924069.1,L1CAM,ENSMPUP00000008873,99.5,0.0,2550
XP_044924070.1,L1CAM,ENSMPUP00000008873,99.2,0.0,2536
XP_044924072.1,PABIR3,ENSMPUP00000012580,100,3.93e-151,428
XP_044924074.1,PLXNA3,ENSMPUP00000009553,100,0.0,3754
XP_044924075.1,PLXNA3,ENSMPUP00000009553,100,0.0,3593
XP_044924076.1,PLXNA3,ENSMPUP00000009553,100,0.0,3593
XP_044924077.1,TAFAZZIN,ENSMPUP00000009288,84.6,9.46e-117,342
XP_044924080.1,HMGB3,ENSMPUP00000011514,100,1.62e-127,364
XP_044924085.1,SLITRK2,ENSMPUP00000018336,100,0.0,1387
XP_044924086.1,LOC123388483,ENSMPUP00000019034,99.3,1.12e-217,601
XP_044924087.1,LOC123388484,ENSMPUP00000001994,100,6.00e-266,813
XP_044924088.1,LOC123388485,ENSMPUP00000018864,99.7,9.85e-228,641
XP_044924089.1,SLITRK4,ENSMPUP00000000446,100,0.0,1262
XP_044924090.1,MCF2,ENSMPUP00000001749,99.5,0.0,2089
XP_044924091.1,MCF2,ENSMPUP00000001749,100,0.0,2123
XP_044924092.1,MCF2,ENSMPUP00000001749,98.0,0.0,2073
XP_044924093.1,MCF2,ENSMPUP00000001749,95.9,0.0,2018
XP_044924094.1,MCF2,ENSMPUP00000001749,99.5,0.0,2117
XP_044924095.1,MCF2,ENSMPUP00000001749,100,0.0,1814
XP_044924096.1,MCF2,ENSMPUP00000001749,94.0,0.0,1672
XP_044924097.1,VGLL1,ENSMPUP00000001879,100,8.03e-151,424
XP_044924099.1,PNCK,ENSMPUP00000016043,100,1.01e-250,691
XP_044924100.1,PNCK,ENSMPUP00000016043,95.0,1.15e-231,642
XP_044924101.1,PNCK,ENSMPUP00000016043,100,3.79e-235,649
XP_044924102.1,PNCK,ENSMPUP00000016043,100,3.52e-252,691
XP_044924103.1,PNCK,ENSMPUP00000016043,100,3.52e-252,691
XP_044924115.1,DUSP9,ENSMPUP00000016046,93.9,5.97e-251,690
XP_044924116.1,DUSP9,ENSMPUP00000016046,93.9,5.97e-251,690
XP_044924119.1,LOC101689976,ENSMPUP00000001776,94.5,0.0,1256
XP_044924120.1,LOC101689976,ENSMPUP00000001776,79.2,0.0,1016
XP_044924121.1,LOC123388488,ENSMPUP00000012553,77.0,6.76e-65,202
XP_044924122.1,LOC123388488,ENSMPUP00000012553,77.0,1.96e-65,203
XP_044924123.1,LOC123388489,ENSMPUP00000012553,76.4,1.36e-64,202
XP_044924124.1,LOC123388489,ENSMPUP00000012553,76.4,3.95e-65,202
XP_044924125.1,LOC101670158,ENSMPUP00000000583,100,3.43e-122,352
XP_044924127.1,GABRQ,ENSMPUP00000011643,95.2,0.0,1131
XP_044924129.1,MAP7D3,ENSMPUP00000001922,67.3,0.0,962
XP_044924130.1,MAP7D3,ENSMPUP00000001922,67.1,0.0,954
XP_044924131.1,MAP7D3,ENSMPUP00000001922,66.7,0.0,931
XP_044924132.1,MAP7D3,ENSMPUP00000001922,67.2,0.0,942
XP_044924133.1,MAP7D3,ENSMPUP00000001922,64.2,1.58e-313,895
XP_044924134.1,MAP7D3,ENSMPUP00000001922,63.9,3.73e-311,889
XP_044924135.1,MAP7D3,ENSMPUP00000001922,62.2,7.35e-296,849
XP_044924136.1,MAP7D3,ENSMPUP00000001922,74.1,0.0,1012
XP_044924137.1,MAP7D3,ENSMPUP00000001922,64.3,6.84e-273,787
XP_044924138.1,MAP7D3,ENSMPUP00000001922,58.9,2.08e-230,676
XP_044924139.1,MAP7D3,ENSMPUP00000001922,62.4,4.19e-243,709
XP_044924144.1,LOC101672052,ENSMPUP00000018816,99.4,6.46e-214,592
XP_044924145.1,G6PD,ENSMPUP00000009646,100,0.0,1062
XP_044924146.1,IKBKG,ENSMPUP00000009761,100,1.96e-231,644
XP_044924151.1,LOC123388498,ENSMPUP00000019413,99.1,1.91e-65,200
XP_044924152.1,ARHGEF6,ENSMPUP00000001869,100,0.0,1193
XP_044924154.1,ATP11C,ENSMPUP00000001745,100,0.0,2189
XP_044924155.1,ENOX2,ENSMPUP00000002000,100,0.0,1000
XP_044924156.1,ENOX2,ENSMPUP00000002000,100,0.0,1000
XP_044924157.1,ENOX2,ENSMPUP00000002000,100,0.0,1000
XP_044924158.1,ENOX2,ENSMPUP00000002000,90.1,0.0,989
XP_044924159.1,HCFC1,ENSMPUP00000008957,96.7,0.0,3250
XP_044924162.1,SLC5A1,ENSMPUP00000012654,99.5,0.0,1277
XP_044924167.1,FGF13,ENSMPUP00000001765,100,7.63e-129,368
XP_044924170.1,MID2,ENSMPUP00000003777,100,0.0,1417
XP_044924171.1,PLS3,ENSMPUP00000017344,98.5,0.0,1169
XP_044924172.1,SEPTIN6,ENSMPUP00000001525,100,1.12e-266,739
XP_044924174.1,LAMP2,ENSMPUP00000001413,95.1,2.82e-279,765
XP_044924176.1,LOC101680993,ENSMPUP00000019229,100,1.33e-91,267
XP_044924178.1,CUL4B,ENSMPUP00000001407,100,0.0,1551
XP_044924179.1,RBM41,ENSMPUP00000003721,90.6,2.14e-313,858
XP_044924180.1,RBM41,ENSMPUP00000003721,95.0,0.0,873
XP_044924182.1,WDR44,ENSMPUP00000001703,98.0,0.0,1728
XP_044924183.1,WDR44,ENSMPUP00000001703,96.2,0.0,1687
XP_044924188.1,LONRF3,ENSMPUP00000001579,84.2,0.0,1295
XP_044924189.1,LONRF3,ENSMPUP00000001579,84.3,0.0,1300
XP_044924190.1,LONRF3,ENSMPUP00000001579,89.7,0.0,1318
XP_044924191.1,LONRF3,ENSMPUP00000001579,89.8,0.0,1323
XP_044924192.1,LONRF3,ENSMPUP00000001579,84.5,0.0,1224
XP_044924193.1,LONRF3,ENSMPUP00000001579,84.6,0.0,1229
XP_044924195.1,COL4A6,ENSMPUP00000003884,87.4,2.10e-198,640
XP_044924196.1,COL4A6,ENSMPUP00000003884,100,5.41e-196,633
XP_044924197.1,COL4A6,ENSMPUP00000003884,85.9,1.29e-173,572
XP_044924198.1,COL4A6,ENSMPUP00000003884,83.1,4.88e-188,611
XP_044924199.1,PAK3,ENSMPUP00000003986,96.4,0.0,1038
XP_044924200.1,PAK3,ENSMPUP00000003986,96.4,0.0,1038
XP_044924201.1,PAK3,ENSMPUP00000003986,96.4,0.0,1038
XP_044924202.1,LOC101687300,ENSMPUP00000018328,100,1.38e-85,252
XP_044924203.1,ZBTB33,ENSMPUP00000019230,100,0.0,1153
XP_044924205.1,PRPS1,ENSMPUP00000003763,100,2.28e-73,227
XP_044924207.1,UPF3B,ENSMPUP00000001516,97.2,1.54e-240,672
XP_044924209.1,UPF3B,ENSMPUP00000001516,92.3,9.23e-227,636
XP_044924214.1,LOC123388532,ENSMPUP00000018543,97.1,2.65e-180,506
XP_044924216.1,LOC101670556,ENSMPUP00000001330,75.6,5.30e-220,620
XP_044924218.1,LOC101672366,ENSMPUP00000000169,96.1,5.21e-80,245
XP_044924221.1,LOC123388538,ENSMPUP00000018886,100,1.03e-87,258
XP_044924222.1,LUZP4,ENSMPUP00000017343,100,8.56e-23,110
XP_044924226.1,NXT2,ENSMPUP00000003941,99.5,1.11e-140,397
XP_044924228.1,CAPN6,ENSMPUP00000004000,100,0.0,1167
XP_044924229.1,CAPN6,ENSMPUP00000004000,100,0.0,1167
XP_044924231.1,CHRDL1,ENSMPUP00000003981,100,0.0,979
XP_044924232.1,CHRDL1,ENSMPUP00000003981,98.7,0.0,959
XP_044924233.1,CHRDL1,ENSMPUP00000003981,98.9,0.0,962
XP_044924237.1,LOC101678278,ENSMPUP00000003685,97.1,8.47e-233,655
XP_044924238.1,VSIG1,ENSMPUP00000003840,100,2.16e-211,593
XP_044924241.1,BEX3,ENSMPUP00000018971,99.1,1.52e-60,188
XP_044924242.1,LOC101683186,ENSMPUP00000018963,100,3.69e-84,248
XP_044924243.1,NRK,ENSMPUP00000005278,100,0.0,2644
XP_044924244.1,NRK,ENSMPUP00000005278,96.7,0.0,2526
XP_044924245.1,NRK,ENSMPUP00000005278,96.4,0.0,2614
XP_044924246.1,LRCH2,ENSMPUP00000017341,96.5,0.0,1076
XP_044924247.1,LRCH2,ENSMPUP00000017341,94.2,0.0,1036
XP_044924248.1,LRCH2,ENSMPUP00000017341,95.0,1.08e-279,792
XP_044924249.1,LRCH2,ENSMPUP00000017341,92.2,2.32e-264,753
XP_044924250.1,LOC101693595,ENSMPUP00000001323,98.5,0.0,987
XP_044924252.1,DNAAF6,ENSMPUP00000003745,99.5,1.08e-127,365
XP_044924253.1,DNAAF6,ENSMPUP00000003745,100,1.08e-129,370
XP_044924254.1,LOC123388547,ENSMPUP00000001394,67.4,6.07e-116,347
XP_044924255.1,FRMPD3,ENSMPUP00000003752,82.6,0.0,2316
XP_044924256.1,IL13RA2,ENSMPUP00000017340,100,1.23e-301,820
XP_044924257.1,DOCK11,ENSMPUP00000001689,99.4,0.0,3990
XP_044924258.1,DOCK11,ENSMPUP00000001689,100,0.0,3999
XP_044924259.1,DOCK11,ENSMPUP00000001689,97.5,0.0,3900
XP_044924260.1,DOCK11,ENSMPUP00000001689,99.3,0.0,3906
XP_044924262.1,KIAA1210,ENSMPUP00000001570,94.5,0.0,1999
XP_044924263.1,LOC101680389,ENSMPUP00000018528,93.7,2.61e-209,581
XP_044924265.1,LOC123388552,ENSMPUP00000018516,99.4,1.86e-216,598
XP_044924266.1,STAG2,ENSMPUP00000001337,100,0.0,2457
XP_044924267.1,LOC101677031,ENSMPUP00000001394,60.3,5.82e-103,315
XP_044924271.1,TMEM164,ENSMPUP00000003958,100,1.59e-121,346
XP_044924272.1,TMEM164,ENSMPUP00000003958,100,1.59e-121,346
XP_044924273.1,TMEM164,ENSMPUP00000003958,100,1.59e-121,346
XP_044924274.1,TMEM164,ENSMPUP00000003958,100,1.56e-104,302
XP_044924275.1,COL4A5,ENSMPUP00000003900,100,1.13e-155,525
XP_044924276.1,LOC101671154,ENSMPUP00000001342,100,0.0,1034
XP_044924277.1,LOC123388554,ENSMPUP00000014071,97.4,6.57e-96,280
XP_044924278.1,NCBP2L,ENSMPUP00000018327,100,1.44e-113,326
XP_044924279.1,TSC22D3,ENSMPUP00000003773,100,4.41e-51,168
XP_044924280.1,TSC22D3,ENSMPUP00000003773,100,3.33e-137,390
XP_044924283.1,LOC123388556,ENSMPUP00000019686,93.9,1.73e-201,560
XP_044924285.1,MAGED1,ENSMPUP00000000870,98.9,0.0,1026
XP_044924286.1,LOC123388583,ENSMPUP00000004921,94.4,1.57e-70,214
XP_044924288.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924289.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924290.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924291.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924292.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924293.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924294.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924295.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924296.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924297.1,CCDC120,ENSMPUP00000013696,100,0.0,1263
XP_044924298.1,WDR45,ENSMPUP00000013701,98.6,2.51e-202,567
XP_044924299.1,ELK1,ENSMPUP00000013302,100,2.49e-294,805
XP_044924300.1,ELK1,ENSMPUP00000013302,100,2.49e-294,805
XP_044924301.1,RBM10,ENSMPUP00000013032,92.6,0.0,1766
XP_044924302.1,ARAF,ENSMPUP00000013247,98.8,0.0,1129
XP_044924303.1,TIMP1,ENSMPUP00000013259,100,2.64e-154,432
XP_044924304.1,GPKOW,ENSMPUP00000013705,100,0.0,944
XP_044924305.1,GPKOW,ENSMPUP00000013705,100,0.0,944
XP_044924307.1,GRIPAP1,ENSMPUP00000013682,94.6,0.0,1247
XP_044924308.1,GRIPAP1,ENSMPUP00000013682,100,0.0,1194
XP_044924310.1,PRICKLE3,ENSMPUP00000013711,93.8,0.0,1051
XP_044924311.1,PRICKLE3,ENSMPUP00000013711,100,0.0,1007
XP_044924312.1,PRICKLE3,ENSMPUP00000013711,100,0.0,1007
XP_044924313.1,PRICKLE3,ENSMPUP00000013711,100,4.16e-246,693
XP_044924316.1,FOXP3,ENSMPUP00000013948,100,0.0,872
XP_044924328.1,ZNF182,ENSMPUP00000013326,100,1.72e-106,338
XP_044924329.1,JADE3,ENSMPUP00000013003,100,0.0,1647
XP_044924330.1,JADE3,ENSMPUP00000013003,100,0.0,1459
XP_044924331.1,RBM3,ENSMPUP00000013528,100,5.63e-97,283
XP_044924332.1,RBM3,ENSMPUP00000013528,97.4,2.36e-91,269
XP_044924333.1,WDR13,ENSMPUP00000013534,100,0.0,937
XP_044924334.1,WDR13,ENSMPUP00000013534,100,0.0,937
XP_044924335.1,WDR13,ENSMPUP00000013534,100,0.0,937
XP_044924336.1,WDR13,ENSMPUP00000013534,100,1.39e-285,785
XP_044924337.1,WDR13,ENSMPUP00000013534,100,1.39e-285,785
XP_044924338.1,WDR13,ENSMPUP00000013534,100,1.39e-285,785
XP_044924339.1,WDR13,ENSMPUP00000013534,100,5.87e-263,726
XP_044924340.1,ZNF41,ENSMPUP00000013243,100,3.73e-195,580
XP_044924342.1,ZNF630,ENSMPUP00000013353,100,2.00e-179,529
XP_044924343.1,PAGE4,ENSMPUP00000013965,100,9.36e-65,198
XP_044924344.1,LOC101683672,ENSMPUP00000001474,97.4,8.18e-308,843
XP_044924345.1,LOC101674324,ENSMPUP00000014098,100,3.53e-65,200
XP_044924346.1,EZHIP,ENSMPUP00000014096,85.3,4.90e-207,602
XP_044924348.1,CENPVL3,ENSMPUP00000018871,100,1.84e-190,528
XP_044924350.1,PIM2,ENSMPUP00000013628,81.0,1.04e-176,497
XP_044924351.1,TIMM17B,ENSMPUP00000013572,95.7,3.65e-86,257
XP_044924352.1,TIMM17B,ENSMPUP00000013572,95.7,3.65e-86,257
XP_044924353.1,LOC101675404,ENSMPUP00000018871,100,1.84e-190,528
XP_044924355.1,CLCN5,ENSMPUP00000013981,84.6,0.0,1349
XP_044924356.1,SLC9A7,ENSMPUP00000012841,97.6,0.0,1308
XP_044924357.1,SLC9A7,ENSMPUP00000012841,96.3,0.0,1183
XP_044924359.1,LOC123388596,ENSMPUP00000018709,99.0,1.46e-209,580
XP_044924361.1,CDK16,ENSMPUP00000013057,98.6,0.0,947
XP_044924362.1,CDK16,ENSMPUP00000013057,98.6,0.0,950
XP_044924363.1,CDK16,ENSMPUP00000013057,98.6,0.0,950
XP_044924364.1,CDK16,ENSMPUP00000013057,98.6,0.0,944
XP_044924366.1,LOC101678571,ENSMPUP00000018709,100,1.59e-213,590
XP_044924367.1,NPY1R,ENSMPUP00000001858,100,1.23e-274,751
XP_044924372.1,HIF1AN,ENSMPUP00000020023,100,1.24e-257,707
XP_044924374.1,LOC123388650,ENSMPUP00000000183,91.3,7.41e-195,544
XP_044924375.1,LGI1,ENSMPUP00000017030,86.4,0.0,961
XP_044924376.1,LOC101690915,ENSMPUP00000017031,100,5.12e-199,554
XP_044924377.1,LOC123388652,ENSMPUP00000017199,91.9,3.75e-196,548
XP_044924379.1,TIAL1,ENSMPUP00000003029,100,1.12e-254,698
XP_044924380.1,TIAL1,ENSMPUP00000003029,100,1.12e-254,698
XP_044924382.1,TIAL1,ENSMPUP00000003029,100,3.88e-187,524
XP_044924383.1,LOC101694300,ENSMPUP00000002708,98.7,2.30e-161,454
XP_044924384.1,EEF1AKMT2,ENSMPUP00000002701,98.7,1.87e-159,447
XP_044924385.1,EEF1AKMT2,ENSMPUP00000002701,84.8,1.81e-130,373
XP_044924387.1,MMRN2,ENSMPUP00000008787,99.1,0.0,1619
XP_044924388.1,MMRN2,ENSMPUP00000008787,97.1,0.0,1607
XP_044924389.1,SFXN2,ENSMPUP00000016757,100,5.21e-116,343
XP_044924390.1,SFXN2,ENSMPUP00000016757,100,5.21e-116,343
XP_044924391.1,LOC101682266,ENSMPUP00000016879,100,0.0,3099
XP_044924392.1,LOC101682266,ENSMPUP00000016879,100,0.0,1606
XP_044924393.1,DENND10,ENSMPUP00000003054,89.0,3.10e-250,691
XP_044924394.1,DENND10,ENSMPUP00000003054,85.9,1.69e-183,519
XP_044924395.1,DENND10,ENSMPUP00000003054,100,2.58e-171,484
XP_044924396.1,SFXN4,ENSMPUP00000003046,99.7,8.29e-200,556
XP_044924397.1,SFXN4,ENSMPUP00000003046,98.6,4.16e-199,553
XP_044924398.1,RASSF4,ENSMPUP00000017192,100,3.53e-192,536
XP_044924401.1,PANK1,ENSMPUP00000017160,100,1.24e-260,723
XP_044924402.1,LOC101684561,ENSMPUP00000001998,99.9,0.0,3021
XP_044924403.1,CASP7,ENSMPUP00000001996,100,3.02e-225,619
XP_044924404.1,CASP7,ENSMPUP00000001996,100,1.38e-198,552
XP_044924405.1,ZFYVE27,ENSMPUP00000016926,100,2.57e-277,763
XP_044924413.1,CSGALNACT2,ENSMPUP00000017169,100,1.95e-299,822
XP_044924414.1,CSGALNACT2,ENSMPUP00000017169,99.5,7.17e-276,762
XP_044924415.1,CSGALNACT2,ENSMPUP00000017169,99.5,7.17e-276,762
XP_044924416.1,CSGALNACT2,ENSMPUP00000017169,100,1.74e-227,637
XP_044924417.1,CSGALNACT2,ENSMPUP00000017169,100,2.75e-131,385
XP_044924420.1,GPAM,ENSMPUP00000002028,100,0.0,1414
XP_044924421.1,MKI67,ENSMPUP00000002447,96.1,0.0,4152
XP_044924422.1,MKI67,ENSMPUP00000002447,81.3,0.0,3319
XP_044924424.1,ERCC6,ENSMPUP00000009183,97.2,0.0,2763
XP_044924425.1,ERCC6,ENSMPUP00000009183,99.7,0.0,2419
XP_044924426.1,ERCC6,ENSMPUP00000009183,100,0.0,2449
XP_044924427.1,WASHC2A,ENSMPUP00000009422,88.5,0.0,1951
XP_044924428.1,WASHC2A,ENSMPUP00000009422,85.8,0.0,1844
XP_044924429.1,NCOA4,ENSMPUP00000009407,99.8,0.0,1263
XP_044924430.1,LOC123388655,ENSMPUP00000019396,95.4,2.26e-220,609
XP_044924432.1,HPS1,ENSMPUP00000016895,99.6,0.0,1110
XP_044924433.1,HPS1,ENSMPUP00000016895,99.5,9.20e-305,842
XP_044924434.1,XPNPEP1,ENSMPUP00000002078,100,0.0,1275
XP_044924435.1,XPNPEP1,ENSMPUP00000002078,100,0.0,1155
XP_044924437.1,SMC3,ENSMPUP00000002053,99.9,0.0,2013
XP_044924438.1,SMC3,ENSMPUP00000002053,100,0.0,1736
XP_044924439.1,BAG3,ENSMPUP00000003026,99.8,0.0,878
XP_044924440.1,BAG3,ENSMPUP00000003026,97.5,1.99e-305,846
XP_044924445.1,CUNH10orf143,ENSMPUP00000002420,100,4.12e-103,298
XP_044924446.1,CUNH10orf143,ENSMPUP00000002420,98.4,7.28e-87,256
XP_044924447.1,SEC31B,ENSMPUP00000016856,98.6,0.0,2281
XP_044924448.1,SEC31B,ENSMPUP00000016856,98.3,0.0,1969
XP_044924449.1,PKD2L1,ENSMPUP00000016859,97.6,0.0,1521
XP_044924450.1,PKD2L1,ENSMPUP00000016859,88.1,0.0,1328
XP_044924454.1,BNIP3,ENSMPUP00000002297,97.9,1.26e-124,356
XP_044924459.1,CFAP43,ENSMPUP00000016690,98.0,0.0,3138
XP_044924460.1,CFAP43,ENSMPUP00000016690,97.4,0.0,3103
XP_044924461.1,CFAP43,ENSMPUP00000016690,95.9,0.0,3053
XP_044924462.1,CFAP43,ENSMPUP00000016690,93.5,0.0,2953
XP_044924463.1,CFAP43,ENSMPUP00000016690,89.4,0.0,2799
XP_044924464.1,CFAP43,ENSMPUP00000016690,87.9,0.0,2745
XP_044924465.1,PTPRE,ENSMPUP00000002463,99.8,0.0,1201
XP_044924466.1,PTPRE,ENSMPUP00000002463,100,0.0,1205
XP_044924467.1,PTPRE,ENSMPUP00000002463,99.9,0.0,1333
XP_044924468.1,PTPRE,ENSMPUP00000002463,99.8,0.0,1202
XP_044924469.1,PTPRE,ENSMPUP00000002463,99.8,0.0,1202
XP_044924470.1,PTPRE,ENSMPUP00000002463,99.9,0.0,1285
XP_044924471.1,PTPRE,ENSMPUP00000002463,99.8,0.0,1200
XP_044924472.1,PTPRE,ENSMPUP00000002463,99.8,0.0,1200
XP_044924473.1,PTPRE,ENSMPUP00000002463,99.8,0.0,1100
XP_044924474.1,PTPRE,ENSMPUP00000002463,99.8,0.0,1067
XP_044924501.1,TCF7L2,ENSMPUP00000002011,98.7,0.0,976
XP_044924520.1,BMS1,ENSMPUP00000017167,99.9,0.0,2446
XP_044924522.1,LOC101673698,ENSMPUP00000002938,83.5,1.80e-139,404
XP_044924525.1,ARHGAP19,ENSMPUP00000016942,92.6,8.87e-311,852
XP_044924526.1,BUB3,ENSMPUP00000002746,100,2.10e-250,685
XP_044924527.1,BUB3,ENSMPUP00000002746,100,4.39e-247,677
XP_044924529.1,STK32C,ENSMPUP00000002220,100,4.73e-265,726
XP_044924530.1,STK32C,ENSMPUP00000002220,100,4.73e-265,726
XP_044924531.1,STK32C,ENSMPUP00000002220,100,4.73e-265,726
XP_044924532.1,EDRF1,ENSMPUP00000002621,99.9,0.0,2385
XP_044924533.1,EDRF1,ENSMPUP00000002621,92.9,0.0,2203
XP_044924534.1,DHX32,ENSMPUP00000002585,100,0.0,1491
XP_044924535.1,UROS,ENSMPUP00000002599,100,7.41e-157,442
XP_044924537.1,ADAM12,ENSMPUP00000002525,100,0.0,1804
XP_044924538.1,TWNK,ENSMPUP00000016837,100,1.32e-158,462
XP_044924539.1,LZTS2,ENSMPUP00000016833,100,0.0,1047
XP_044924540.1,LZTS2,ENSMPUP00000016833,99.3,0.0,1029
XP_044924541.1,LZTS2,ENSMPUP00000016833,67.2,4.37e-214,612
XP_044924542.1,SLC25A28,ENSMPUP00000016884,100,1.63e-193,537
XP_044924543.1,LOC101690988,ENSMPUP00000008886,99.3,9.20e-192,543
